Marketing expense;Production expense;Multiplex coverage;Budget;Movie_length;Lead_ Actor_Rating;Lead_Actress_rating;Director_rating;Producer_rating;Critic_rating;Trailer_views
20.1264;59.62;0.462;36524.125;138.7;7.825;8.095;7.91;7.995;7.94;527367
20.5462;69.14;0.531;35668.655;152.4;7.505;7.65;7.44;7.47;7.44;494055
20.5458;69.14;0.531;39912.675;134.6;7.485;7.57;7.495;7.515;7.44;547051
20.6474;59.36;0.542;38873.89;119.3;6.895;7.035;6.92;7.02;8.26;516279
21.381;59.36;0.542;39701.585;127.7;6.92;7.07;6.815;7.07;8.26;531448
20.597;59.36;0.542;35718.65;132.2;6.89;7.1;6.885;7.005;7.26;498425
21.7658;70.74;0.476;33396.66;140.1;7.065;7.265;7.15;7.4;8.96;459241
22.891;70.74;0.476;34285.46;169.6;6.98;7.075;6.875;7.17;7.96;400821
24.2248;70.74;0.476;31280.205;173.5;6.91;7.075;6.85;7;7.96;295168
23.4008;70.74;0.476;33352.22;159.4;6.665;6.725;6.575;6.855;7.96;412012
24.4978;70.74;0.476;35424.235;167.8;6.675;6.845;6.725;7.06;8.96;369595
22.3494;70.74;0.476;33379.995;156.4;6.865;7.035;6.745;6.905;8.96;451646
21.8756;70.74;0.476;32713.395;112.5;7.12;7.43;7.21;7.335;8.96;407557
32.5952;71.28;0.462;33046.695;135.3;7.64;7.705;7.535;7.705;6.8;472490
32.7592;71.28;0.462;33863.28;158;7.7;7.9;7.76;7.71;7.8;495311
32.5478;71.28;0.462;32407.87;130;7.7;7.825;7.64;7.84;6.8;497626
41.0786;71.28;0.462;32968.925;102.8;7.67;7.805;7.74;7.785;7.8;532331
35.684;71.28;0.462;33274.45;155.2;7.72;7.925;7.82;8.015;6.8;431225
36.0542;71.28;0.462;30308.08;110.1;8.1;8.24;8.07;8;6.8;448317
34.516;71.28;0.462;31813.485;143;8.01;8.175;8;8.215;7.8;463328
45.0358;71.28;0.462;30941.35;171.6;8.035;8.205;7.955;8.21;7.8;371051
37.0408;71.28;0.462;33135.575;162.7;7.945;8.14;7.83;8.06;7.8;457361
44.6494;71.28;0.462;34118.81;165.2;7.91;8.01;7.845;8.275;6.8;387496
39.7686;71.28;0.462;32291.215;173.5;7.825;8.01;7.935;8.04;7.8;365213
35.0052;71.28;0.462;32907.82;167.6;7.655;7.965;7.64;7.94;7.8;414145
36.8108;71.28;0.462;31102.445;159.2;7.655;7.835;7.64;7.96;7.8;422375
33.4382;71.28;0.462;32291.215;163.8;7.53;7.705;7.645;7.755;6.8;436807
39.1154;71.28;0.462;33591.085;162.3;7.75;7.8;7.7;7.845;6.8;406866
35.4598;71.28;0.462;36079.725;167.9;7.715;7.825;7.655;7.895;7.8;455480
40.049;71.28;0.462;37074.07;160.8;7.735;8.03;7.82;7.935;6.8;466851
42.6162;71.28;0.462;31735.715;167.6;7.74;7.91;7.815;8.07;6.8;350102
47.0944;71.28;0.462;33729.96;173.5;7.805;7.97;7.76;8.115;6.8;436306
47.7598;71.28;0.462;33052.25;155.5;7.995;8.07;7.845;8.105;7.8;299587
43.0344;71.28;0.462;31669.055;168.5;8.1;8.165;8.02;8.14;7.8;394967
52.2564;71.28;0.462;33863.28;170.4;7.965;8.17;8.065;8.28;6.8;377048
21.2834;66.92;0.501;32957.815;141.7;8.155;8.365;8.23;8.53;7.16;475977
21.9488;66.92;0.501;32446.755;134.9;8.305;8.36;8.19;8.39;8.16;474433
21.6028;66.92;0.501;32496.75;115;8.01;8.125;7.94;8.055;7.16;482433
23.501;66.92;0.501;33141.13;103.7;7.925;8.17;7.98;8.23;7.16;498052
20.5526;60.9;0.572;36635.225;95.3;7.175;7.325;7.225;7.475;8.34;553070
20.6718;60.9;0.572;39018.32;89.3;7.185;7.345;7.235;7.43;8.34;567784
22.5488;68.82;0.552;37607.35;76.4;7.115;7.14;7;7.3;7.42;512492
22.83;68.82;0.552;34268.795;80.1;7.035;7.27;7.06;7.19;7.42;526836
23.1872;68.82;0.552;34502.105;80;6.98;7.17;7.08;7.33;8.42;473146
22.4538;68.82;0.552;33713.295;113.5;7.095;7.245;7.05;7.165;8.42;471960
23.4284;68.82;0.552;31563.51;107.3;7.385;7.525;7.395;7.49;8.42;470466
23.7672;68.82;0.552;32141.23;106.8;7.375;7.5;7.3;7.625;8.42;445250
24.5854;68.82;0.552;33496.65;159;7.085;7.18;7.125;7.23;7.42;374797
25.0774;68.82;0.552;29991.445;168.8;7.01;7.16;7.02;7.07;8.42;264112
24.3954;68.82;0.552;31119.11;135.5;6.945;7.05;6.85;6.98;7.42;422013
21.7746;66.28;0.561;33124.465;119.2;6.46;6.725;6.5;6.685;7.64;442225
20.8674;66.28;0.561;33968.825;136.5;6.48;6.63;6.46;6.795;8.64;502413
21.072;66.28;0.561;36168.605;94.6;6.49;6.62;6.44;6.815;8.64;504792
20.9962;66.28;0.561;33318.89;94.9;6.555;6.74;6.565;6.51;8.64;496877
20.272;63;0.59;32707.84;121.1;6.3;6.365;6.2;6.5;6.78;410055
20.2622;57.44;0.597;40268.195;95.4;5.55;5.795;5.605;5.655;8.42;512329
20.411;56.48;0.59;35457.565;109.2;5.34;5.535;5.285;5.465;8.54;539589
20.2864;57.64;0.589;37862.88;114;5.685;5.86;5.815;5.99;8.98;512129
23.089;65.26;0.547;34135.475;102.7;6.01;6.115;5.965;6.28;7.06;480067
22.0656;65.26;0.547;32924.485;120.7;6.37;6.66;6.45;6.66;7.06;467075
22.9864;65.26;0.547;31891.255;139.7;6.335;6.42;6.235;6.56;7.06;465689
23.4342;65.26;0.547;33141.13;166.9;6.58;6.665;6.46;6.655;7.06;430178
22.2054;65.26;0.547;35863.08;141.3;6.225;6.46;6.285;6.58;7.06;525189
22.53;65.26;0.547;37562.91;116.9;5.885;6.155;5.95;6.045;8.06;469499
20.3902;57.76;0.5839;39462.72;133;5.28;5.455;5.315;5.505;7.28;477265
20.7168;61.74;0.602;34940.95;91.3;6.69;6.785;6.575;6.725;8.78;545499
20.8758;61.74;0.602;32146.785;104.6;6.65;6.78;6.58;6.77;8.78;465605
21.1578;67.14;0.591;32652.29;94.9;6.68;6.8;6.74;6.785;8.22;493569
22.7108;67.14;0.591;31074.67;110.3;6.745;6.915;6.73;6.615;8.22;461313
22.5632;67.14;0.591;32691.175;106.5;6.725;6.805;6.7;6.77;7.22;499656
21.7652;76.62;0.587;35646.435;80.1;7.24;7.465;7.205;7.52;7.16;501152
23.1752;76.62;0.587;33113.355;91;7.28;7.4;7.29;7.455;8.16;491978
21.8328;76.62;0.587;33691.075;81.3;7.27;7.52;7.195;7.44;7.16;500290
23.9078;76.62;0.587;34690.975;79.7;7.32;7.385;7.25;7.47;8.16;493124
21.5792;80.66;0.563;34846.515;79.5;7.73;8.025;7.715;8.025;7.26;488560
21.9024;80.66;0.563;34918.73;118.5;7.585;7.75;7.585;8.07;8.26;496661
22.0306;80.66;0.563;34879.845;148;7.835;8.14;7.87;8.05;8.26;478283
21.7414;80.66;0.563;34107.7;119.3;7.84;7.97;7.87;8.14;7.26;490040
21.1292;80.66;0.563;34618.76;127.2;7.33;7.5;7.45;7.69;8.26;447528
21.6774;80.66;0.563;32630.07;110.1;7.735;7.885;7.59;7.785;8.26;467670
20.8226;64.72;0.574;37368.485;107;7.25;7.36;7.3;7.29;8.2;499995
20.8924;64.72;0.574;36768.545;143.9;7.145;7.445;7.145;7.46;7.2;510436
20.7318;64.72;0.574;35007.61;105.7;7.235;7.405;7.265;7.29;8.2;492574
